collapse_pyr_dfg__113.txt
node ID,0,3,5,7,9,11,15,16,19,21,23,25,27,28,31,33,35,37,38,41,44,46,48,50,52,56,57,60,62,64,66,68,69,72,74,76,78,79,82,85,87,90,91,93,95,96,99,101,103,105,107,108,111,113,115,117,-1
asap,1,5,7,11,13,1,1,5,9,11,15,19,1,3,7,9,13,17,1,5,9,11,15,19,9,5,9,13,15,19,21,5,7,11,13,17,19,1,3,7,9,17,23,27,5,9,13,15,19,21,5,7,11,13,17,19,33
alap,199,203,205,209,211,185,193,197,201,203,207,211,195,197,201,203,207,211,191,197,201,203,207,211,193,195,199,203,205,209,211,197,199,203,205,209,211,193,197,201,203,201,207,211,195,199,203,205,209,211,197,199,203,205,209,211,217
REST,1,5,7,11,25,1,1,5,9,11,15,25,1,5,7,11,13,25,1,5,9,11,15,31,9,5,9,13,15,19,31,5,7,11,13,17,31,1,5,7,11,17,23,31,5,9,13,15,19,31,5,7,11,13,17,31,-1
E_REST,13,17,19,23,25,5,7,11,15,17,21,25,9,11,15,17,21,25,11,17,21,23,27,31,13,15,19,23,25,29,31,17,19,23,25,29,31,13,17,21,23,21,27,31,15,19,23,25,29,31,17,19,23,25,29,31,-1
schd_time without rest,1,5,7,11,13,1,1,5,9,11,15,19,1,3,7,9,13,17,1,5,9,11,17,21,9,5,9,13,15,19,21,5,7,11,13,17,19,1,3,7,9,17,23,27,5,9,13,15,19,21,5,7,11,13,17,19,33
total energy without rest,3482.4
energy delay product without rest,114919.2
schd_time with rest,1,5,7,11,13,1,1,5,9,11,15,19,1,3,7,9,13,17,1,5,9,11,17,21,9,5,9,13,15,19,21,5,7,11,13,17,19,1,3,7,9,17,23,27,5,9,13,15,19,21,5,7,11,13,17,19,33
total energy with rest,3482.4
energy delay product with rest,114919.2
