jpeg_fdct_islow_dfg__6.txt
node ID,1,4,5,8,11,12,14,18,21,22,25,28,29,31,35,38,39,42,45,46,48,52,55,56,59,62,63,65,69,72,73,76,79,80,82,86,89,90,93,96,97,99,103,106,107,110,113,114,116,120,123,124,127,130,131,133,136,138,140,142,144,146,148,151,154,155,156,158,160,163,166,167,168,170,173,174,176,178,181,184,185,187,188,190,192,195,198,199,200,202,204,206,208,210,213,216,219,222,225,228,231,234,236,239,242,243,245,247,250,253,254,255,256,258,260,263,266,267,268,269,271,273,276,279,280,281,282,284,286,289,292,293,296,300,-1
asap,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,13,13,13,13,15,17,19,1,5,27,15,19,21,1,5,29,17,19,17,23,25,27,1,5,35,17,23,25,27,1,5,35,15,15,15,15,17,19,15,15,15,15,23,17,17,17,23,23,27,29,31,33,1,5,41,21,25,27,29,1,5,37,21,25,27,29,1,5,37,27,29,31,33,1,5,41,1,1,47
alap,423,427,429,423,427,429,433,427,431,433,427,431,433,437,423,427,429,423,427,429,433,427,431,433,427,431,433,437,423,427,429,423,427,429,433,427,431,433,427,431,433,437,423,427,429,423,427,429,433,427,431,433,427,431,433,437,447,435,447,435,451,453,455,457,461,463,449,453,455,457,461,463,439,441,447,451,453,455,457,461,463,447,451,453,455,457,461,463,443,443,441,441,443,445,445,445,445,445,445,445,445,445,449,449,449,451,453,455,457,461,463,449,451,453,455,457,461,463,449,451,453,455,457,461,463,449,451,453,455,457,461,463,467,465,469
REST,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,13,15,13,15,17,27,19,1,5,43,15,27,21,1,5,43,17,21,17,27,29,29,1,5,53,17,27,29,29,1,5,53,15,15,15,15,17,21,15,15,15,15,23,17,17,17,23,23,27,29,31,33,1,5,59,21,25,27,29,1,5,59,21,25,27,29,1,5,59,27,29,31,33,1,5,59,1,1,-1
E_REST,15,19,21,15,19,21,25,23,27,29,23,27,29,33,15,19,21,15,19,21,25,23,27,29,23,27,29,33,15,19,21,15,19,21,25,23,27,29,23,27,29,33,15,19,21,15,19,21,25,23,27,29,23,27,29,33,27,31,27,31,31,33,35,37,41,43,29,33,35,37,41,43,35,37,37,41,43,45,47,51,53,37,41,43,45,47,51,53,39,39,37,37,39,41,41,41,41,41,41,41,41,41,45,45,45,47,49,51,53,57,59,45,47,49,51,53,57,59,45,47,49,51,53,57,59,45,47,49,51,53,57,59,1,1,-1
schd_time without rest,1,5,7,1,5,7,11,5,9,11,5,9,11,15,1,5,7,1,5,7,11,9,13,15,9,13,15,19,1,5,7,5,9,11,15,9,13,15,9,13,15,19,5,9,11,5,9,11,15,9,13,15,13,17,19,23,17,17,17,17,19,21,23,13,17,31,21,25,27,13,17,35,21,23,21,27,29,31,13,19,39,21,27,29,31,13,19,39,27,23,27,23,29,31,27,23,23,19,29,25,29,25,35,35,33,37,39,41,17,21,49,29,37,39,41,17,21,49,29,37,39,41,17,21,49,33,37,39,41,17,23,49,1,1,55
total energy without rest,5916.0
energy delay product without rest,325380.0
schd_time with rest,1,5,7,1,5,7,11,5,9,11,5,9,11,15,1,5,7,1,5,7,11,9,13,15,9,13,15,19,1,5,7,5,9,11,15,9,13,15,9,13,15,19,5,9,11,5,9,11,15,9,13,15,13,17,19,23,17,17,17,17,19,21,23,13,17,31,21,25,27,13,17,35,21,23,21,27,29,31,13,19,39,21,27,29,31,13,19,39,27,23,27,23,29,31,27,23,23,19,29,25,29,25,35,35,33,37,39,41,17,21,49,29,37,39,41,17,21,49,29,37,39,41,17,21,49,33,37,39,41,17,23,49,1,1,55
total energy with rest,5916.0
energy delay product with rest,325380.0
