motion_vectors_dfg__7.txt
node ID,1,3,6,8,12,13,15,18,20,22,23,26,27,29,32,34,36,37,39,40,42,45,47,49,50,53,54,56,59,61,63,64,-1
asap,1,1,5,7,1,1,1,5,7,9,11,1,1,1,5,7,9,15,1,1,1,5,7,9,11,1,1,1,5,7,9,15,21
alap,99,97,101,103,89,87,85,89,91,93,95,93,91,89,93,95,97,99,89,87,85,89,91,93,95,93,91,89,93,95,97,99,105
REST,1,1,5,11,1,1,1,5,11,13,23,1,1,1,5,13,15,45,1,1,1,5,13,15,27,1,1,1,5,13,15,51,-1
E_REST,7,5,9,11,35,33,31,35,37,39,41,39,37,35,39,41,43,45,41,39,37,41,43,45,47,45,43,41,45,47,49,51,-1
schd_time without rest,17,17,21,23,5,1,1,5,7,9,11,13,9,5,11,15,17,19,9,5,1,5,9,13,15,13,13,9,13,17,19,25,31
total energy without rest,926.8
energy delay product without rest,28730.8
schd_time with rest,17,17,21,23,5,1,1,5,7,9,11,13,9,5,11,15,17,19,9,5,1,5,9,13,15,13,13,9,13,17,19,25,31
total energy with rest,926.8
energy delay product with rest,28730.8
