jpeg_fdct_islow_dfg__6.txt
node ID,1,4,5,8,11,12,14,18,21,22,25,28,29,31,35,38,39,42,45,46,48,52,55,56,59,62,63,65,69,72,73,76,79,80,82,86,89,90,93,96,97,99,103,106,107,110,113,114,116,120,123,124,127,130,131,133,136,138,140,142,144,146,148,151,154,155,156,158,160,163,166,167,168,170,173,174,176,178,181,184,185,187,188,190,192,195,198,199,200,202,204,206,208,210,213,216,219,222,225,228,231,234,236,239,242,243,245,247,250,253,254,255,256,258,260,263,266,267,268,269,271,273,276,279,280,281,282,284,286,289,292,293,296,300,-1
asap,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,13,13,13,13,15,17,19,1,5,27,15,19,21,1,5,29,17,19,17,23,25,27,1,5,35,17,23,25,27,1,5,35,15,15,15,15,17,19,15,15,15,15,23,17,17,17,23,23,27,29,31,33,1,5,41,21,25,27,29,1,5,37,21,25,27,29,1,5,37,27,29,31,33,1,5,41,1,1,47
alap,423,427,429,423,427,429,433,427,431,433,427,431,433,437,423,427,429,423,427,429,433,427,431,433,427,431,433,437,423,427,429,423,427,429,433,427,431,433,427,431,433,437,423,427,429,423,427,429,433,427,431,433,427,431,433,437,447,435,447,435,451,453,455,457,461,463,449,453,455,457,461,463,439,441,447,451,453,455,457,461,463,447,451,453,455,457,461,463,443,443,441,441,443,445,445,445,445,445,445,445,445,445,449,449,449,451,453,455,457,461,463,449,451,453,455,457,461,463,449,451,453,455,457,461,463,449,451,453,455,457,461,463,467,465,469
REST,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,1,5,7,1,5,7,11,13,15,13,15,23,29,19,1,5,47,19,29,21,1,5,47,23,23,19,29,31,45,1,5,59,19,29,31,45,1,5,59,15,15,15,15,23,23,15,15,15,15,23,19,19,19,23,23,27,29,31,53,1,5,77,21,25,29,53,1,5,77,21,25,29,53,1,5,77,27,29,31,53,1,5,83,1,1,-1
E_REST,19,23,25,19,23,25,29,41,45,47,41,45,47,51,19,23,25,19,23,25,29,41,45,47,41,45,47,51,19,23,25,19,23,25,29,41,45,47,41,45,47,51,19,23,25,19,23,25,29,41,45,47,41,45,47,51,31,37,31,37,35,37,39,41,45,47,33,37,39,41,45,47,41,43,43,47,49,51,53,57,59,43,47,49,51,53,57,59,57,57,55,55,57,59,59,59,59,65,59,59,59,59,63,63,63,65,67,69,71,75,77,63,65,67,69,71,75,77,63,65,67,69,71,75,77,69,71,73,75,77,81,83,1,1,-1
schd_time without rest,1,5,7,1,5,7,11,9,13,15,13,17,19,23,1,5,7,5,9,11,15,13,17,19,13,17,19,25,5,9,11,5,9,11,15,17,21,23,17,21,23,27,9,13,15,9,13,15,19,17,21,23,21,25,27,31,23,21,19,17,25,27,29,21,27,37,29,33,35,25,29,43,25,29,25,33,35,37,25,29,45,21,33,39,41,41,45,49,35,31,35,31,37,41,37,33,29,29,37,33,37,33,45,45,41,47,49,51,41,51,59,37,47,49,51,45,53,59,37,47,51,53,45,53,65,41,49,51,59,45,53,67,1,1,73
total energy without rest,5060.8
energy delay product without rest,369438.4
schd_time with rest,1,5,7,1,5,7,11,9,13,15,13,17,19,23,1,5,7,5,9,11,15,13,17,19,13,17,19,25,5,9,11,5,9,11,15,17,21,23,17,21,23,27,9,13,15,9,13,15,19,17,21,23,21,25,27,31,23,21,19,17,25,27,29,21,27,37,29,33,35,25,29,43,25,29,25,33,35,37,25,29,45,21,33,39,41,41,45,49,35,31,35,31,37,41,37,33,29,29,37,33,37,33,45,45,41,47,49,51,41,51,59,37,47,49,51,45,53,59,37,47,51,53,45,53,65,41,49,51,59,45,53,67,1,1,73
total energy with rest,5060.8
energy delay product with rest,369438.4
